GID	1	2	3	4
1	0.010	0.988	0.001	0.001
2	0.819	0.019	0.063	0.099
10	0.877	0.001	0.121	0.001
11	0.001	0.001	0.011	0.987
12	0.996	0.003	0.001	0.000
15	0.001	0.999	0.000	0.000
22	0.003	0.004	0.023	0.970
25	0.615	0.384	0.001	0.000
31	0.397	0.255	0.129	0.219
34	0.401	0.597	0.001	0.001
35	0.841	0.005	0.002	0.152
36	0.913	0.006	0.003	0.078
37	0.289	0.304	0.004	0.403
38	0.609	0.001	0.347	0.043
41	0.012	0.986	0.001	0.001
42	0.991	0.003	0.001	0.005
43	0.001	0.001	0.998	0.000
44	0.001	0.000	0.985	0.014
46	0.025	0.034	0.851	0.090
47	0.001	0.001	0.997	0.001
48	0.001	0.001	0.997	0.001
49	0.004	0.995	0.001	0.000
51	0.839	0.156	0.004	0.001
53	0.010	0.988	0.001	0.001
54	0.969	0.029	0.001	0.001
55	0.652	0.346	0.001	0.001
56	0.995	0.003	0.001	0.001
57	0.680	0.206	0.110	0.004
58	0.627	0.361	0.006	0.006
59	0.743	0.186	0.002	0.069
60	0.431	0.567	0.001	0.001
62	0.891	0.049	0.001	0.059
63	0.829	0.106	0.055	0.010
65	0.908	0.003	0.073	0.016
66	0.827	0.028	0.139	0.006
67	0.310	0.365	0.131	0.194
70	0.036	0.936	0.026	0.002
71	0.320	0.509	0.084	0.087
72	0.946	0.002	0.038	0.014
73	0.997	0.002	0.001	0.000
75	0.994	0.005	0.001	0.000
76	0.014	0.238	0.151	0.597
77	0.990	0.004	0.004	0.002
79	0.988	0.010	0.001	0.001
83	0.966	0.007	0.013	0.014
87	0.002	0.994	0.001	0.003
89	0.007	0.988	0.004	0.001
93	0.406	0.592	0.001	0.001
94	0.001	0.998	0.001	0.000
95	0.149	0.848	0.001	0.002
98	0.007	0.984	0.007	0.002
101	0.055	0.924	0.001	0.020
103	0.002	0.995	0.002	0.001
106	0.910	0.032	0.004	0.054
107	0.608	0.390	0.001	0.001
108	0.806	0.003	0.189	0.002
109	0.795	0.013	0.181	0.011
110	0.862	0.010	0.021	0.107
111	0.997	0.002	0.001	0.000
112	0.447	0.551	0.002	0.000
113	0.853	0.005	0.102	0.040
114	0.013	0.001	0.010	0.976
115	0.995	0.003	0.001	0.001
116	0.993	0.005	0.001	0.001
118	0.993	0.005	0.001	0.001
119	0.254	0.295	0.426	0.025
120	0.990	0.001	0.007	0.002
123	0.874	0.003	0.045	0.078
125	0.212	0.004	0.783	0.001
127	0.817	0.005	0.118	0.060
128	0.897	0.001	0.101	0.001
129	0.001	0.001	0.989	0.009
130	0.034	0.004	0.832	0.130
132	0.935	0.003	0.003	0.059
133	0.327	0.441	0.093	0.139
135	0.940	0.058	0.001	0.001
136	0.995	0.003	0.001	0.001
137	0.005	0.991	0.001	0.003
138	0.924	0.002	0.006	0.068
139	0.994	0.004	0.001	0.001
140	0.188	0.749	0.022	0.041
142	0.841	0.157	0.001	0.001
144	0.948	0.050	0.001	0.001
147	0.984	0.014	0.001	0.001
148	0.995	0.003	0.001	0.001
149	0.026	0.972	0.001	0.001
150	0.003	0.996	0.001	0.000
151	0.986	0.013	0.001	0.000
152	0.753	0.032	0.198	0.017
154	0.962	0.036	0.001	0.001
155	0.835	0.011	0.150	0.004
156	0.861	0.009	0.005	0.125
158	0.801	0.025	0.062	0.112
159	0.811	0.177	0.008	0.004
160	0.994	0.004	0.001	0.001
162	0.001	0.003	0.960	0.036
163	0.001	0.001	0.997	0.001
165	0.002	0.001	0.996	0.001
166	0.997	0.002	0.001	0.000
167	0.694	0.283	0.022	0.001
168	0.995	0.003	0.001	0.001
169	0.991	0.006	0.001	0.002
170	0.889	0.037	0.064	0.010
171	0.002	0.997	0.001	0.000
172	0.244	0.754	0.001	0.001
173	0.024	0.974	0.001	0.001
174	0.978	0.019	0.001	0.002
177	0.002	0.002	0.093	0.903
179	0.318	0.679	0.001	0.002
180	0.910	0.068	0.017	0.005
181	0.997	0.002	0.001	0.000
184	0.995	0.003	0.001	0.001
187	0.591	0.406	0.002	0.001
188	0.567	0.431	0.001	0.001
189	0.996	0.002	0.001	0.001
190	0.092	0.903	0.002	0.003
191	0.001	0.049	0.793	0.157
192	0.848	0.138	0.002	0.012
193	0.981	0.016	0.002	0.001
194	0.965	0.032	0.001	0.002
195	0.127	0.007	0.782	0.084
196	0.001	0.001	0.997	0.001
197	0.747	0.021	0.017	0.215
198	0.001	0.001	0.997	0.001
200	0.303	0.002	0.658	0.037
201	0.990	0.001	0.007	0.002
202	0.007	0.984	0.005	0.004
203	0.018	0.936	0.037	0.009
204	0.007	0.501	0.001	0.491
206	0.888	0.110	0.001	0.001
207	0.224	0.029	0.745	0.002
208	0.549	0.001	0.448	0.002
209	0.261	0.003	0.637	0.099
211	0.005	0.994	0.001	0.000
212	0.003	0.995	0.001	0.001
216	0.002	0.997	0.001	0.000
217	0.003	0.994	0.001	0.002
218	0.007	0.991	0.001	0.001
219	0.005	0.992	0.001	0.002
220	0.003	0.995	0.001	0.001
223	0.003	0.996	0.001	0.000
224	0.002	0.998	0.000	0.000
227	0.002	0.997	0.001	0.000
228	0.002	0.997	0.001	0.000
229	0.007	0.991	0.001	0.001
231	0.001	0.999	0.000	0.000
233	0.013	0.985	0.001	0.001
234	0.005	0.989	0.005	0.001
235	0.003	0.995	0.001	0.001
236	0.003	0.996	0.001	0.000
237	0.005	0.993	0.001	0.001
239	0.001	0.998	0.001	0.000
240	0.257	0.740	0.002	0.001
242	0.989	0.005	0.004	0.002
243	0.335	0.401	0.133	0.131
