GID	LLGTH	NBL	TIL	DEPTH	LENGTH	NR_30	SBM	RB0020	RB2030	RB3050	RB	DRB	DRP	PB	R_S	CONE_AA	CONE_MS	CONE_P	CONE
1	71.83	7.28	7.04	29.57	30.26	5.17	1.697	0.1949	0.0125	-0.0014	0.2061	0.0112	6.33	1.9032	0.1221	26.19	41.92	32.79	33.51
2	106.22	8.81	13.9	40.26	42.45	14.77	4.7087	0.3949	0.0439	0.0156	0.4543	0.0595	11.38	5.1635	0.0991	22.76	33.71	32.04	29.41
10	80.67	6.88	4.59	44.64	46.57	13.05	1.1349	0.2039	0.0239	0.0102	0.238	0.0341	12.68	1.3693	0.2245	38.61	59.15	34.38	43.87
11	84.8	7.13	5.84	47.51	49.58	12.66	1.279	0.1354	0.0203	0.0078	0.1635	0.0281	21.72	1.4427	0.129	23.99	28.61	25.02	25.77
12	89.74	7.03	7.61	42.63	45.91	16.93	2.4037	0.2929	0.0334	0.0153	0.3415	0.0486	13.1	2.7456	0.1416	48.26	75.17	42.83	55.35
15	62.82	8.24	12.75	34.07	36.83	7.83	2.1996	0.2332	0.0195	0.0023	0.255	0.0218	7.79	2.4546	0.1202	57.85	61.43	58.68	59.32
22	81.69	7.16	5.95	48.97	51.17	15.01	1.3111	0.1556	0.0326	0.0172	0.2054	0.0498	23.12	1.5169	0.1653	16.52	20.86	19.17	19.35
25	61.75	7.73	4.64	31.67	30.52	1.43	0.7366	0.0823	0.0027	0	0.085	0.0028	3.45	0.8218	0.1153	16.5	31.18	18.09	18.78
31	65.45	7.61	3.63	38.16	37.95	7.94	0.7699	0.0837	0.0107	0.0018	0.0963	0.0126	13.66	0.8668	0.1255	44.42	44.89	34.96	41.32
34	56.79	7.54	6.71	31.84	32.37	3.05	0.887	0.105	0.0069	0.0008	0.1127	0.0077	4.72	1.0003	0.1352	43.3	53.06	39.4	45.74
